,GEOID,popdensity,medhouseholdincome,pct_blk,hispanic,pct_owner_occ,education
816,19055,29.87471039,61179,0.002781319,0.014717812,0.797790994,0.087007941
817,19057,95.16330339,49977,0.059368687,0.030126263,0.726048344,0.084378522
818,19059,44.82307999,58099,0.006507974,0.019523921,0.778792693,0.042212403
819,19061,159.1362054,61321,0.034358794,0.023914795,0.732554665,0.076062882
820,19063,24.12552413,48542,0.018113287,0.095592085,0.758734655,0.09512761
821,19065,27.2691215,50015,0.020322144,0.023182297,0.747509845,0.079248012
822,19067,31.67808229,48110,0.017278345,0.029448859,0.743101946,0.107270889
823,19069,17.60401201,53742,0.01386042,0.124060517,0.763157895,0.094236432
824,19071,13.63162257,54281,0.004735936,0.026406429,0.747715405,0.075195508
825,19073,15.80540872,54050,0.003665445,0.02799067,0.752252252,0.063474388
826,19075,24.59089406,66965,0.005591119,0.01255976,0.821087507,0.057977737
827,19077,18.07261644,57075,0.000281057,0.026794079,0.810079225,0.071646949
828,19079,26.19849367,56273,0.013633355,0.059629385,0.736697248,0.065466604
829,19081,19.06823611,61167,0.006429096,0.041605437,0.797300148,0.066046271
830,19083,30.08394543,53872,0.013429089,0.042914696,0.756304825,0.083518839
831,19085,20.29591657,60063,0.002191897,0.016474581,0.77350927,0.082146105
832,19087,45.88227572,52428,0.022533373,0.047576031,0.73636838,0.07071298
833,19089,19.57551144,52742,0.003130397,0.015759931,0.796906694,0.097055098
834,19091,22.02276776,52219,0.002613423,0.042546519,0.755523877,0.077821012
835,19093,16.02759697,55969,0.000867553,0.021978022,0.747706422,0.065352697
836,19095,27.63566188,58570,0.00925526,0.026531746,0.781338925,0.062115127
837,19097,30.4933405,54070,0.005104408,0.014230472,0.759922789,0.076731221
838,19099,50.50727659,55727,0.019110352,0.021468651,0.74983115,0.062545763
839,19101,41.50659394,43378,0.017757371,0.029263705,0.667981303,0.07322995
840,19103,239.810402,61640,0.067652601,0.055673091,0.593739922,0.047499884
841,19105,35.73217095,56012,0.024504084,0.018961494,0.764454223,0.082883129
842,19107,17.61115557,51043,0.003823529,0.01627451,0.80353902,0.074560179
843,19109,15.49767488,54146,0.011077944,0.024013267,0.789308646,0.056225278
844,19111,66.73974186,48571,0.025563823,0.035667757,0.741204654,0.078302157
845,19113,309.7598327,64862,0.053385317,0.031892527,0.726728121,0.053334855
846,19115,27.93390055,53943,0.011137842,0.157533636,0.786010124,0.180838634
847,19117,19.96509965,50206,0.001628475,0.017796906,0.784765519,0.072344013
848,19119,20.02731083,64352,0.000594783,0.025830572,0.825979289,0.094468532
849,19121,28.3242412,64512,0.002328508,0.020830711,0.780746888,0.051453515
850,19123,38.90297218,52950,0.015625,0.021388689,0.711309192,0.088223473
851,19125,59.88781574,58492,0.005932484,0.018941789,0.752495481,0.066213215
852,19127,70.3423077,54027,0.009510566,0.213081374,0.733234651,0.163517769
853,19129,34.19292292,69177,0.008691583,0.029952531,0.796966994,0.065631068
854,19131,22.66105247,55553,0.000846581,0.013733421,0.80182025,0.101014254
855,19133,12.67309738,45252,0.002728513,0.019326967,0.744197531,0.076273836
856,19135,18.12943415,49549,0.00063589,0.025562762,0.769996888,0.119640517
857,19137,23.94511268,47648,0,0.037813885,0.720272049,0.099178237
858,19139,98.18423903,57348,0.02346915,0.17790454,0.746892518,0.124124405
859,19141,24.27610996,53045,0.010567177,0.046797498,0.756961608,0.076779026
860,19143,15.33792846,58125,0.012591987,0.078331971,0.785980611,0.109473684
861,19145,28.71904776,49974,0.017249235,0.033326824,0.717659941,0.091105121
862,19147,16.05891618,52462,0.023081171,0.02661513,0.740110165,0.065411615
863,19149,29.01980958,64296,0.00710891,0.049682495,0.77964557,0.070393128
864,19151,11.95000406,49877,0.00637866,0.036677298,0.801113517,0.085817889
865,19153,828.8450581,66044,0.065523305,0.082412276,0.690558588,0.085024053
866,19155,98.37176009,57467,0.014609157,0.076168679,0.683317471,0.105452528
867,19157,31.80771905,53520,0.018543402,0.032088148,0.721906023,0.070027316
868,19159,9.307274345,52005,0.000601926,0.023876404,0.768441622,0.077144502
869,19161,17.16116068,54958,0.00648561,0.028678557,0.785363677,0.07441794
870,19163,376.1056021,58803,0.074648263,0.065994149,0.698764323,0.070611999
871,19165,19.79429536,55489,0.008209338,0.028390628,0.77640118,0.080557238
872,19167,45.350335,67178,0.00356066,0.104953338,0.803522099,0.091642763
873,19169,169.2839408,54554,0.018860527,0.033624977,0.550466375,0.029309419
874,19171,23.76672918,55898,0.008345005,0.092261905,0.788829711,0.090565064
875,19173,11.65822437,48717,0.002418965,0.079342042,0.770063457,0.097821048
876,19175,29.39502137,47518,0.005059022,0.029310206,0.708783912,0.097644287
877,19177,14.89875767,47083,0.007337671,0.014813789,0.812419562,0.100577574
878,19179,81.77888027,45233,0.03236585,0.106555288,0.728009896,0.120623053
879,19181,86.62329385,74383,0.00463929,0.027005126,0.798053528,0.04324408
880,19183,38.9286911,61769,0.009077361,0.060335095,0.748083743,0.089215359
881,19185,12.20389522,45017,0.010447528,0.008576329,0.794117647,0.110958276
882,19187,51.35772245,44261,0.047310716,0.047419539,0.712451861,0.091897353
883,19189,26.39534789,51002,0.012865386,0.043893671,0.755057646,0.082026371
884,19191,29.57383818,62820,0.009460321,0.021861673,0.761160435,0.053297603
885,19193,117.3088626,55483,0.034942089,0.161536358,0.669594387,0.132880609
886,19195,18.71681047,54329,0.012551743,0.02910936,0.797919294,0.072133637
887,19197,22.06016497,50198,0.006872852,0.115666979,0.734933333,0.08156148
888,20001,25.24510171,42679,0.014885194,0.034679335,0.722922374,0.081103095
889,20003,13.54629126,46274,0.005731024,0.018084564,0.769631902,0.087140115
890,20005,37.95001578,48667,0.023100898,0.029762269,0.701009454,0.075608544
891,20007,4.17346445,50613,0.00591591,0.040354955,0.749883123,0.084822781
892,20009,29.92561682,50198,0.016908663,0.146877683,0.706461048,0.113690509
893,20011,23.135708,40733,0.032172494,0.026527003,0.708987638,0.088419732
894,20013,16.92858458,48547,0.012624172,0.042942881,0.712506106,0.073983491
895,20015,46.4922054,63272,0.023515075,0.047270867,0.765005002,0.074609734
896,20017,3.4215125,46295,0.017391304,0.046124764,0.774782609,0.101481075
897,20019,5.270176409,38690,0.005940006,0.010692011,0.772952854,0.126737531
898,20021,34.60218192,41103,0.006148247,0.025183218,0.735884058,0.110106879
899,20023,2.624805965,46833,0,0.064998132,0.770634921,0.064853556
900,20025,2.106433208,50368,0.005845105,0.083779834,0.725893824,0.064447592
901,20027,12.61747572,56186,0.005526898,0.024686809,0.752458556,0.07000529
902,20029,12.66533301,44143,0.017770419,0.031898455,0.722506394,0.085568537
903,20031,13.2337543,58636,0.006147541,0.026398264,0.767515013,0.067477308
904,20033,2.258041164,56912,0,0.069101124,0.769417476,0.072156863
905,20035,31.61584827,48087,0.031637212,0.107780057,0.684361549,0.101173959
906,20037,66.31084592,40174,0.022143807,0.054873683,0.614470087,0.09084293
907,20039,3.224350602,44104,0.001388407,0.028115238,0.774310595,0.087037037
908,20041,22.43515639,48167,0.013470848,0.046095559,0.724389942,0.093544941
909,20043,19.66061045,49338,0.055196484,0.027792141,0.736607143,0.09970385
910,20045,261.8007841,55832,0.042298377,0.061649863,0.527629888,0.044765006
911,20047,4.703392035,49293,0.005811966,0.203418803,0.764208909,0.157040573
912,20049,3.976647435,38494,0.00234192,0.043325527,0.798286604,0.132065504
913,20051,32.089939,52700,0.013816746,0.056790636,0.618827679,0.07295547
914,20053,8.79436509,48188,0.045606229,0.060384554,0.786033293,0.088028169
915,20055,28.38497907,56573,0.025651433,0.494791244,0.638724816,0.290563067
916,20057,31.39859419,53072,0.020212272,0.545441364,0.64136384,0.28525296
917,20059,44.70860053,55486,0.01060126,0.04154442,0.711005542,0.074163383
